datetime,Symbol,Expiry,Strike,OptionType,Date,Time,Open,High,Low,Close,Volume,OI,Underlying Value
2021-04-23 09:15:59,NIFTY,29APR21,13850,PE,2021-04-23,09:15:59,63.9,66.9,51.4,56.2,0,0,14353.55
2021-04-23 09:16:59,NIFTY,29APR21,13850,PE,2021-04-23,09:16:59,56.0,56.55,53.6,56.55,0,0,14340.0
2021-04-23 09:17:59,NIFTY,29APR21,13850,PE,2021-04-23,09:17:59,55.9,57.2,52.0,52.0,0,0,14358.95
2021-04-23 09:18:59,NIFTY,29APR21,13850,PE,2021-04-23,09:18:59,51.6,51.6,49.35,49.7,0,0,14371.9
2021-04-23 09:19:59,NIFTY,29APR21,13850,PE,2021-04-23,09:19:59,49.95,50.0,47.0,47.0,0,0,14384.35
2021-04-23 09:20:59,NIFTY,29APR21,13850,PE,2021-04-23,09:20:59,46.7,46.7,44.25,44.45,0,0,14391.4
2021-04-23 09:21:59,NIFTY,29APR21,13850,PE,2021-04-23,09:21:59,44.2,45.35,44.0,45.25,0,0,14390.3
2021-04-23 09:22:59,NIFTY,29APR21,13850,PE,2021-04-23,09:22:59,45.0,45.15,43.0,44.0,0,0,14397.95
2021-04-23 09:23:59,NIFTY,29APR21,13850,PE,2021-04-23,09:23:59,44.15,47.0,44.15,46.8,0,0,14379.3
2021-04-23 09:24:59,NIFTY,29APR21,13850,PE,2021-04-23,09:24:59,46.95,48.45,46.9,48.45,0,0,14371.0
2021-04-23 09:25:59,NIFTY,29APR21,13850,PE,2021-04-23,09:25:59,48.6,49.7,48.05,49.2,0,0,14363.35
2021-04-23 09:26:59,NIFTY,29APR21,13850,PE,2021-04-23,09:26:59,49.45,50.45,49.4,49.45,0,0,14357.2
2021-04-23 09:27:59,NIFTY,29APR21,13850,PE,2021-04-23,09:27:59,49.85,50.1,47.8,47.95,0,0,14366.25
2021-04-23 09:28:59,NIFTY,29APR21,13850,PE,2021-04-23,09:28:59,48.4,50.15,48.4,48.8,0,0,14357.95
2021-04-23 09:29:59,NIFTY,29APR21,13850,PE,2021-04-23,09:29:59,49.2,50.1,48.0,50.05,0,0,14343.45
2021-04-23 09:30:59,NIFTY,29APR21,13850,PE,2021-04-23,09:30:59,50.5,51.65,49.4,51.55,0,0,14337.5
2021-04-23 09:31:59,NIFTY,29APR21,13850,PE,2021-04-23,09:31:59,51.7,52.35,50.5,51.55,0,0,14329.85
2021-04-23 09:32:59,NIFTY,29APR21,13850,PE,2021-04-23,09:32:59,51.6,51.75,49.0,49.0,0,0,14344.4
2021-04-23 09:33:59,NIFTY,29APR21,13850,PE,2021-04-23,09:33:59,49.1,49.25,47.1,49.15,0,0,14344.95
2021-04-23 09:34:59,NIFTY,29APR21,13850,PE,2021-04-23,09:34:59,49.2,51.65,49.0,50.7,0,0,14335.15
2021-04-23 09:35:59,NIFTY,29APR21,13850,PE,2021-04-23,09:35:59,50.8,51.5,48.35,50.0,0,0,14340.25
2021-04-23 09:36:59,NIFTY,29APR21,13850,PE,2021-04-23,09:36:59,49.95,50.15,48.85,49.0,0,0,14345.05
2021-04-23 09:37:59,NIFTY,29APR21,13850,PE,2021-04-23,09:37:59,48.3,50.2,48.3,49.8,0,0,14337.8
2021-04-23 09:38:59,NIFTY,29APR21,13850,PE,2021-04-23,09:38:59,50.1,50.1,48.45,48.75,0,0,14348.4
2021-04-23 09:39:59,NIFTY,29APR21,13850,PE,2021-04-23,09:39:59,48.9,50.75,48.9,50.75,0,0,14336.05
2021-04-23 09:40:59,NIFTY,29APR21,13850,PE,2021-04-23,09:40:59,50.75,51.0,49.1,49.95,0,0,14338.7
2021-04-23 09:41:59,NIFTY,29APR21,13850,PE,2021-04-23,09:41:59,50.25,50.25,48.5,49.05,0,0,14343.5
